timestamp,run_id,rank,market_number,market_title,side,consensus,consensus_count,total_models,reasoning,web_search_used,link
2025-12-12T03:29:30.973225,20251212_032930,1,2,Clippers vs. Rockets,YES (Rockets to win),6 out of 6 models agreed,6.0,6.0,All models unanimously favor the Rockets due to their superior 15-6 record at home against the struggling 6-18 Clippers.,YES,https://polymarket.com/event/nba-lac-hou-2025-12-11
2025-12-12T03:29:30.973225,20251212_032930,2,1,Falcons vs. Buccaneers,YES (Buccaneers to win),"4 out of 6 models agreed (Groq and DeepSeek said NO, but meant Buccaneers win)",4.0,6.0,Strong consensus that the 7-6 Buccaneers with playoff motivation will defeat the eliminated 4-9 Falcons at home.,YES,https://polymarket.com/event/nfl-atl-tb-2025-12-11
2025-12-12T03:29:30.973225,20251212_032930,3,3,Panthers vs. Avalanche,YES (Avalanche to win),3 out of 6 models agreed (3 others said NO_TRADE),3.0,6.0,"Half the models favor the league-leading Avalanche at home, while the other half see too much uncertainty to trade.",YES,https://polymarket.com/event/nhl-fla-col-2025-12-12
2025-12-12T03:29:30.973225,20251212_032930,4,3,Panthers vs. Avalanche,NO_TRADE,3 out of 6 models agreed,3.0,6.0,Three models identified this as too competitive between quality teams despite Colorado's home advantage.,YES,https://polymarket.com/event/nhl-fla-col-2025-12-12
2025-12-12T03:29:30.973225,20251212_032930,5,1,Falcons vs. Buccaneers,NO (Falcons to win),2 out of 6 models explicitly said NO,2.0,6.0,"Minimal consensus for Falcons victory, with most models favoring Buccaneers instead.",YES,https://polymarket.com/event/nfl-atl-tb-2025-12-11
2025-12-12T03:35:10.944584,20251212_033510,1,3,Hawks vs. Pistons,NO (Pistons to win),5 out of 5 models agreed,5.0,5.0,"All models unanimously favor the Pistons based on their superior 19-5 record, two previous wins against the Hawks this season, and strong home court advantage.",YES,https://polymarket.com/event/nba-atl-det-2025-12-12
2025-12-12T03:35:10.944584,20251212_033510,2,2,Panthers vs. Saints,YES (Panthers to win),4 out of 5 models agreed,4.0,5.0,Strong consensus that the Panthers' 7-6 record and recent momentum significantly outweigh the Saints' dismal 3-10 season performance.,YES,https://polymarket.com/event/nfl-car-no-2025-12-14
2025-12-12T03:35:10.944584,20251212_033510,3,1,Will Salvador Nasralla win the 2025 Honduras presidential election?,NO_TRADE,3 out of 5 models agreed (with 2 models choosing NO),3.0,5.0,"The ongoing recount affecting 15% of votes and fraud allegations create too much uncertainty for confident prediction, though sentiment leans against Nasralla.",YES,https://polymarket.com/event/honduras-presidential-election
2025-12-12T03:40:54.020043,20251212_034054,1,1,Hawks vs. Pistons: O/U 231.5,NO,"4 out of 5 models agreed (Groq, OpenAI, Gemini, Opus voted NO; Claude and Deepseek voted NO_TRADE)",4.0,5.0,"Strong agreement based on the most recent game totaling only 197 points, significantly below the 231.5 line.",YES,https://polymarket.com/event/nba-atl-det-2025-12-12
2025-12-12T03:40:54.020043,20251212_034054,2,2,Lighter market cap (FDV) >$1B one day after launch?,YES,"4 out of 5 models agreed (Groq, OpenAI, Gemini, Opus voted YES; Deepseek and Claude voted NO/NO_TRADE)",4.0,5.0,Multiple sources show 64-82% probability with strong market confidence that Lighter's FDV will exceed $1 billion post-launch.,YES,https://polymarket.com/event/lighter-market-cap-fdv-one-day-after-launch
2025-12-12T03:40:54.020043,20251212_034054,3,3,Will lighter perform an airdrop by December 31?,YES,"4 out of 5 models agreed (OpenAI, Gemini, Opus, Deepseek voted YES; Groq voted NO, Claude voted YES)",4.0,5.0,CEO's explicit hints about holiday launch and points program concluding before year-end strongly indicate an imminent airdrop.,YES,https://polymarket.com/event/lighter-airdop-by
2025-12-12T03:40:54.020043,20251212_034054,4,1,Hawks vs. Pistons: O/U 231.5 (Alternative view),NO_TRADE,"2 out of 5 models agreed on NO_TRADE (Claude, Deepseek), but combined with 4 NO votes shows 6/5 models lean away from YES",2.0,5.0,"High volatility between recent games creates uncertainty, though directional consensus leans against the over.",YES,https://polymarket.com/event/nba-atl-det-2025-12-12
2025-12-12T03:40:54.020043,20251212_034054,5,2,Lighter market cap (FDV) >$1B one day after launch? (Risk perspective),Caution on YES,"2 out of 5 models expressed NO_TRADE/NO concerns (Deepseek, Claude) despite 4 YES votes",2.0,5.0,"While majority supports YES, notable concerns about crypto volatility and already-priced-in probability suggest careful position sizing.",YES,https://polymarket.com/event/lighter-market-cap-fdv-one-day-after-launch
2025-12-12T03:46:46.060520,20251212_034646,1,3,Fed decreases interest rates by 25 bps after January 2026 meeting?,NO,4 out of 4 models agreed,4.0,4.0,All models unanimously agree the Fed will not cut rates in January 2026 given the recent December cut and projected limited cuts for 2026.,YES,https://polymarket.com/event/fed-decision-in-january
2025-12-12T03:46:46.060520,20251212_034646,2,1,Bulls vs. Hornets,NO_TRADE,4 out of 5 models agreed,4.0,5.0,Strong consensus that both teams' struggles and injuries create too much uncertainty to make a confident prediction.,YES,https://polymarket.com/event/nba-chi-cha-2025-12-12
2025-12-12T03:46:46.060520,20251212_034646,3,2,Will Kabuto 1st Edition card hit $100 by December 31?,YES,3 out of 5 models agreed,3.0,5.0,"Majority of models see the strong upward momentum from ""Kabuto King's"" buying campaign as likely to continue pushing prices to $100.",YES,https://polymarket.com/event/will-kabuto-1st-edition-card-hit-100-by-december-31
2025-12-12T03:46:46.060520,20251212_034646,4,2,Will Kabuto 1st Edition card hit $100 by December 31? (Alternative view),NO,2 out of 5 models agreed,2.0,5.0,Minority view that tripling the price in 19 days is unsustainable despite recent manipulation-driven gains.,YES,https://polymarket.com/event/will-kabuto-1st-edition-card-hit-100-by-december-31
2025-12-12T03:46:46.060520,20251212_034646,5,1,Bulls vs. Hornets (Alternative view),Hornets,1 out of 5 models agreed,1.0,5.0,Only one model took a position favoring Hornets based on home court advantage and Bulls' worse losing streak.,YES,https://polymarket.com/event/nba-chi-cha-2025-12-12
2025-12-12T03:52:33.151657,20251212_035233,1,2,Will Israel strike Gaza on December 12?,NO,"3 out of 4 models agreed (OpenAI, Gemini, DeepSeek leaning NO via NO_TRADE)",3.0,4.0,Strong majority agreement on NO with explicit news stating no specific information indicating strikes planned for this date and focus on humanitarian/stabilization efforts.,YES,https://polymarket.com/event/will-israel-strike-gaza-on-379
2025-12-12T03:52:33.151657,20251212_035233,2,3,LoL: Dplus KIA vs Hanwha Life Esports - Game 1 Winner,NO_TRADE,4 out of 4 models agreed,4.0,4.0,Perfect consensus that the closely contested head-to-head record (8-7) and evenly matched recent performances provide no clear edge for prediction.,YES,https://polymarket.com/event/lol-dk-hle1-2025-12-12
2025-12-12T03:52:33.151657,20251212_035233,3,1,Will US Lecce vs. Pisa SC end in a draw?,NO,"2 out of 4 models agreed (DeepSeek, Opus)",2.0,4.0,Multiple models cite zero draws in last six head-to-head encounters as key evidence against a draw outcome despite both teams struggling.,YES,https://polymarket.com/event/sea-lec-pis-2025-12-12
2025-12-12T03:52:33.151657,20251212_035233,4,2,Will Israel strike Gaza on December 12? (Alternative view),YES,"2 out of 4 models agreed (Opus, Claude)",2.0,4.0,Two models emphasize ongoing military operations and pattern of daily strikes making strikes highly probable on the specified date.,YES,https://polymarket.com/event/will-israel-strike-gaza-on-379
2025-12-12T03:52:33.151657,20251212_035233,5,1,Will US Lecce vs. Pisa SC end in a draw? (Alternative view),NO_TRADE,"2 out of 4 models agreed (OpenAI, Claude)",2.0,4.0,Two models note the conflicting signals between Pisa's recent draw tendency and the historical lack of draws between these specific teams creates uncertainty.,YES,https://polymarket.com/event/sea-lec-pis-2025-12-12
2025-12-12T03:58:18.092299,20251212_035818,1,2,Will Trump sell 0 Gold Cards in 2025?,YES,4 out of 4 models agreed,4.0,4.0,"All models cite the extremely short timeframe (launched Dec 11 with only ~20 days left in 2025), dramatic price cut signaling weak demand, and high market probability of zero sales.",YES,https://polymarket.com/event/how-many-gold-cards-will-trump-sell-in-2025
2025-12-12T03:58:18.092299,20251212_035818,2,3,Panthers vs. Avalanche: O/U 6.5,NO_TRADE (with 2 OVER predictions showing directional lean),"2 out of 4 models chose NO_TRADE, 2 chose OVER",2.0,4.0,"While split between NO_TRADE and OVER, no models predicted UNDER, suggesting consensus that Colorado's elite home offense makes this lean toward high scoring.",YES,https://polymarket.com/event/nhl-fla-col-2025-12-12
2025-12-12T03:58:18.092299,20251212_035818,3,1,Red Wings vs. Oilers,NO_TRADE,3 out of 4 models agreed (with 1 YES for Oilers),3.0,4.0,"Three models identified this as too close to call given competitive matchup factors, with only one model leaning toward the home Oilers.",YES,https://polymarket.com/event/nhl-det-edm-2025-12-12
2025-12-12T03:58:18.092299,20251212_035818,4,3,Panthers vs. Avalanche: O/U 6.5,OVER (alternative consensus view),2 out of 4 models explicitly chose OVER,2.0,4.0,Two models specifically predicted OVER based on Colorado's dominant 11-0-2 home record and high-scoring offensive capabilities.,YES,https://polymarket.com/event/nhl-fla-col-2025-12-12
2025-12-12T03:58:18.092299,20251212_035818,5,1,Red Wings vs. Oilers,Mixed signals (insufficient for strong consensus),"1 YES, 3 NO_TRADE out of 4 models",,,"While most avoided the trade, the single YES prediction for Oilers cited home advantage and McDavid's form, but insufficient agreement for confident action.",YES,https://polymarket.com/event/nhl-det-edm-2025-12-12
2025-12-12T04:04:06.410239,20251212_040406,1,1,Cavaliers vs. Wizards,YES,5 out of 5 models agreed,5.0,5.0,All models unanimously agree the Cavaliers will beat the league-worst Wizards who have the NBA's worst defense and are on a 13-game losing streak against Cleveland.,YES,https://polymarket.com/event/nba-cle-was-2025-12-12
